type	create	index	meta
code	varchar(50) collate nocase not null default ''	1	
text	varchar(128) collate nocase not null default ''	0	
int	integer not null default 0	1	align right
currency	numeric not null default 0	1	align right
float	real not null default 0	0	align right
bool	varchar(1) not null default ''	1	align right
year	integer not null default 0	1	align right
month	varchar(7) not null default ''	1	
date	date not null default ''	1	
datetime	datetime not null default ''	1	
para	varchar(1024) not null default ''	0	
page	varchar(64000) not null default ''	0	
blob	blob not null default ''	0	
guid	varchar(36) collate nocase not null default ''	1	
imagefile	varchar(64) collate nocase not null default ''	0	
file	varchar(50) collate nocase not null default ''	0	
url	varchar(50) collate nocase not null default ''	0	
